iter	Passed	Remaining
0	214	214293
1	249	124537
2	282	93922
3	310	77301
4	341	67911
5	370	61343
6	397	56336
7	434	53937
8	459	50554
9	480	47611
10	502	45174
11	523	43139
12	544	41373
13	566	39886
14	588	38669
15	612	37671
16	636	36799
17	659	35982
18	680	35114
19	702	34417
20	731	34092
21	754	33536
22	778	33071
23	802	32649
24	828	32299
25	850	31850
26	876	31601
27	898	31203
28	918	30739
29	938	30360
30	958	29975
31	977	29556
32	994	29156
33	1013	28794
34	1031	28443
35	1051	28162
36	1075	27979
37	1098	27812
38	1117	27537
39	1141	27403
40	1159	27121
41	1176	26839
42	1193	26556
43	1209	26278
44	1227	26044
45	1246	25851
46	1263	25627
47	1280	25401
48	1296	25157
49	1315	24992
50	1335	24848
51	1354	24692
52	1373	24536
53	1391	24369
54	1408	24202
55	1425	24036
56	1443	23875
57	1460	23716
58	1477	23570
59	1495	23434
60	1513	23294
61	1530	23158
62	1547	23012
63	1564	22882
64	1582	22767
65	1599	22640
66	1615	22502
67	1633	22384
68	1650	22273
69	1668	22166
70	1685	22060
71	1709	22032
72	1732	22003
73	1753	21938
74	1781	21973
75	1800	21885
76	1817	21783
77	1834	21683
78	1851	21579
79	1867	21475
80	1884	21385
81	1902	21302
82	1920	21219
83	1937	21123
84	1953	21027
85	1969	20932
86	1985	20839
87	2003	20764
88	2020	20677
89	2037	20602
90	2055	20533
91	2072	20450
92	2090	20385
93	2117	20409
94	2140	20389
95	2159	20331
96	2177	20266
97	2195	20205
98	2213	20145
99	2231	20087
100	2250	20028
101	2267	19964
102	2285	19906
103	2304	19851
104	2322	19797
105	2340	19740
106	2357	19676
107	2374	19609
108	2390	19542
109	2407	19479
110	2424	19417
111	2441	19357
112	2459	19302
113	2475	19241
114	2493	19192
115	2512	19145
116	2531	19105
117	2550	19063
118	2567	19009
119	2584	18952
120	2601	18898
121	2619	18849
122	2636	18796
123	2653	18748
124	2671	18697
125	2688	18648
126	2705	18599
127	2722	18549
128	2739	18497
129	2757	18453
130	2775	18411
131	2793	18371
132	2811	18328
133	2828	18282
134	2845	18229
135	2861	18177
136	2878	18132
137	2894	18077
138	2911	18034
139	2930	18002
140	2949	17966
141	2967	17927
142	2984	17888
143	3001	17843
144	3018	17800
145	3035	17753
146	3050	17703
147	3066	17652
148	3082	17604
149	3098	17557
150	3114	17511
151	3131	17468
152	3148	17429
153	3166	17393
154	3183	17355
155	3200	17313
156	3216	17270
157	3233	17229
158	3249	17185
159	3265	17145
160	3282	17104
161	3300	17070
162	3317	17035
163	3334	17000
164	3352	16963
165	3369	16930
166	3386	16893
167	3403	16857
168	3421	16822
169	3437	16781
170	3454	16745
171	3470	16707
172	3487	16670
173	3504	16636
174	3521	16601
175	3538	16565
176	3555	16533
177	3573	16504
178	3589	16463
179	3604	16422
180	3619	16379
181	3634	16336
182	3650	16295
183	3665	16255
184	3682	16223
185	3698	16187
186	3715	16153
187	3737	16143
188	3758	16129
189	3776	16098
190	3795	16076
191	3813	16046
192	3829	16012
193	3845	15976
194	3861	15941
195	3879	15914
196	3895	15879
197	3912	15849
198	3929	15817
199	3945	15782
200	3962	15751
201	3979	15720
202	3996	15692
203	4012	15657
204	4029	15624
205	4045	15591
206	4062	15564
207	4079	15535
208	4095	15501
209	4112	15468
210	4128	15437
211	4145	15409
212	4162	15378
213	4178	15347
214	4195	15318
215	4212	15288
216	4228	15257
217	4244	15226
218	4261	15198
219	4278	15167
220	4295	15139
221	4311	15108
222	4327	15076
223	4343	15046
224	4359	15017
225	4376	14986
226	4393	14960
227	4410	14934
228	4428	14909
229	4445	14881
230	4462	14854
231	4479	14828
232	4495	14799
233	4511	14768
234	4527	14737
235	4543	14707
236	4561	14684
237	4577	14656
238	4594	14627
239	4611	14602
240	4627	14574
241	4645	14549
242	4664	14531
243	4686	14519
244	4702	14490
245	4719	14464
246	4734	14432
247	4750	14405
248	4767	14378
249	4782	14348
250	4798	14319
251	4813	14287
252	4829	14258
253	4845	14232
254	4864	14212
255	4881	14187
256	4898	14161
257	4917	14141
258	4933	14116
259	4950	14090
260	4967	14064
261	4985	14042
262	5001	14015
263	5028	14017
264	5049	14006
265	5074	14003
266	5097	13993
267	5115	13972
268	5136	13957
269	5154	13936
270	5170	13909
271	5188	13886
272	5204	13860
273	5225	13845
274	5242	13820
275	5258	13794
276	5275	13768
277	5293	13746
278	5310	13724
279	5328	13702
280	5344	13676
281	5361	13650
282	5376	13622
283	5393	13596
284	5408	13568
285	5423	13540
286	5439	13512
287	5455	13486
288	5473	13464
289	5490	13442
290	5506	13415
291	5523	13391
292	5539	13366
293	5555	13341
294	5572	13317
295	5589	13294
296	5606	13269
297	5623	13247
298	5640	13223
299	5656	13199
300	5672	13172
301	5690	13151
302	5706	13126
303	5722	13101
304	5738	13076
305	5754	13051
306	5771	13028
307	5788	13005
308	5804	12979
309	5820	12956
310	5836	12930
311	5853	12908
312	5870	12884
313	5886	12861
314	5903	12838
315	5920	12815
316	5938	12794
317	5954	12771
318	5973	12751
319	5990	12729
320	6005	12704
321	6022	12680
322	6037	12654
323	6053	12629
324	6068	12604
325	6084	12579
326	6101	12558
327	6117	12534
328	6132	12508
329	6148	12483
330	6164	12459
331	6180	12435
332	6196	12411
333	6213	12390
334	6231	12369
335	6248	12348
336	6265	12327
337	6283	12306
338	6300	12285
339	6319	12267
340	6337	12248
341	6355	12228
342	6373	12207
343	6389	12185
344	6406	12163
345	6423	12142
346	6442	12124
347	6461	12106
348	6478	12085
349	6496	12065
350	6515	12047
351	6532	12026
352	6548	12002
353	6564	11979
354	6579	11954
355	6595	11931
356	6612	11910
357	6629	11889
358	6646	11866
359	6663	11845
360	6681	11827
361	6699	11807
362	6717	11788
363	6734	11767
364	6751	11746
365	6769	11725
366	6786	11704
367	6803	11683
368	6820	11662
369	6838	11644
370	6858	11628
371	6876	11608
372	6893	11587
373	6908	11564
374	6924	11541
375	6941	11519
376	6957	11497
377	6974	11476
378	6990	11454
379	7007	11432
380	7024	11411
381	7038	11387
382	7056	11367
383	7073	11346
384	7090	11325
385	7108	11306
386	7122	11282
387	7138	11260
388	7155	11238
389	7171	11217
390	7187	11194
391	7201	11169
392	7217	11147
393	7232	11123
394	7246	11099
395	7263	11079
396	7279	11056
397	7294	11033
398	7310	11011
399	7325	10988
400	7342	10967
401	7358	10946
402	7374	10924
403	7390	10903
404	7408	10884
405	7425	10863
406	7442	10843
407	7459	10823
408	7476	10804
409	7492	10782
410	7509	10761
411	7524	10738
412	7541	10718
413	7557	10697
414	7573	10675
415	7589	10654
416	7605	10633
417	7623	10614
418	7639	10592
419	7653	10569
420	7669	10548
421	7685	10526
422	7700	10504
423	7715	10482
424	7731	10459
425	7746	10437
426	7762	10416
427	7777	10394
428	7793	10373
429	7808	10351
430	7824	10329
431	7839	10307
432	7855	10285
433	7871	10265
434	7887	10244
435	7902	10222
436	7918	10201
437	7933	10179
438	7949	10158
439	7965	10137
440	7982	10118
441	7998	10097
442	8014	10077
443	8030	10056
444	8046	10035
445	8060	10012
446	8077	9992
447	8091	9970
448	8108	9950
449	8123	9928
450	8138	9906
451	8152	9884
452	8167	9862
453	8182	9840
454	8197	9819
455	8212	9797
456	8228	9777
457	8244	9756
458	8259	9734
459	8274	9713
460	8288	9691
461	8304	9670
462	8319	9648
463	8333	9626
464	8347	9603
465	8362	9582
466	8377	9562
467	8394	9542
468	8411	9523
469	8427	9503
470	8443	9483
471	8458	9461
472	8473	9440
473	8489	9420
474	8504	9399
475	8519	9378
476	8537	9360
477	8555	9342
478	8571	9322
479	8585	9301
480	8603	9282
481	8617	9261
482	8633	9241
483	8648	9220
484	8664	9200
485	8679	9179
486	8694	9158
487	8709	9137
488	8725	9118
489	8742	9099
490	8758	9079
491	8773	9058
492	8787	9037
493	8803	9017
494	8820	8998
495	8836	8978
496	8853	8960
497	8869	8940
498	8885	8921
499	8902	8902
500	8920	8884
501	8939	8868
502	8958	8851
503	8974	8832
504	8991	8813
505	9008	8794
506	9026	8777
507	9045	8760
508	9061	8741
509	9079	8723
510	9095	8704
511	9114	8687
512	9131	8668
513	9147	8649
514	9165	8631
515	9180	8611
516	9196	8591
517	9212	8572
518	9228	8553
519	9246	8534
520	9262	8515
521	9279	8497
522	9295	8477
523	9312	8459
524	9330	8441
525	9346	8422
526	9362	8403
527	9378	8384
528	9394	8364
529	9408	8343
530	9423	8322
531	9438	8303
532	9455	8284
